"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"191","Group4.13","amel_OGSv3.2","gene",2290512,2290512,"1","+",".","GB44223"
"192","Group4.13","amel_OGSv3.2","gene",2290555,2290555,"1","+",".","GB44223"
"193","Group4.13","amel_OGSv3.2","gene",2290581,2290581,"1","+",".","GB44223"
"194","Group4.13","amel_OGSv3.2","gene",2290638,2290638,"1","+",".","GB44223"
"195","Group4.13","amel_OGSv3.2","gene",2290724,2290724,"1","+",".","GB44223"
"196","Group4.13","amel_OGSv3.2","gene",2290734,2290734,"1","+",".","GB44223"
"197","Group4.13","amel_OGSv3.2","gene",2290783,2290783,"1","+",".","GB44223"
"198","Group4.13","amel_OGSv3.2","gene",2290823,2290823,"1","+",".","GB44223"
"199","Group4.13","amel_OGSv3.2","gene",2290857,2290857,"1","+",".","GB44223"
"200","Group4.13","amel_OGSv3.2","gene",2290894,2290894,"1","+",".","GB44223"
"201","Group4.13","amel_OGSv3.2","gene",2291017,2291017,"1","+",".","GB44223"
"202","Group4.13","amel_OGSv3.2","gene",2309847,2309847,"1","-",".","GB44002"
"221","Group5.2","amel_OGSv3.2","gene",730843,730843,"1","+",".","GB52306"
"222","Group5.2","amel_OGSv3.2","gene",731035,731035,"1","+",".","GB52306"
"227","Group5.14","amel_OGSv3.2","gene",2285199,2285199,"0.999953","+",".","GB44673"
"231","Group5.15","amel_OGSv3.2","gene",20807,20807,"1","-",".","GB47829"
"239","Group5.18","amel_OGSv3.2","gene",470575,470575,"0.955183","+",".","GB41356"
"240","Group5.18","amel_OGSv3.2","gene",483379,483379,"1","+",".","GB41358"
"241","Group5.18","amel_OGSv3.2","gene",585786,585786,"0.791846","+",".","GB41372"
"250","Group5.20","amel_OGSv3.2","gene",479302,479302,"1","-",".","GB45646"
"251","Group5.20","amel_OGSv3.2","gene",481646,481646,"1","-",".","GB45646"
"252","Group5.20","amel_OGSv3.2","gene",481646,481646,"1","+",".","GB45729"
"263","Group6.10","amel_OGSv3.2","gene",342055,342055,"0.999989","+",".","GB54483"
"264","Group6.10","amel_OGSv3.2","gene",342062,342062,"0.999989","+",".","GB54483"
"265","Group6.10","amel_OGSv3.2","gene",342084,342084,"0.999989","+",".","GB54483"
"271","Group6.20","amel_OGSv3.2","gene",225825,225825,"0.999988","-",".","GB41465"
"275","Group6.28","amel_OGSv3.2","gene",42301,42301,"1","+",".","GB42969"
"276","Group6.28","amel_OGSv3.2","gene",42308,42308,"1","+",".","GB42969"
"277","Group6.28","amel_OGSv3.2","gene",69201,69201,"0.977273","-",".","GB42958"
"284","Group6.31","amel_OGSv3.2","gene",220765,220765,"0.999946","-",".","GB43403"
"289","Group6.37","amel_OGSv3.2","gene",1303623,1303623,"1","-",".","GB45314"
"295","Group7.2","amel_OGSv3.2","gene",103187,103187,"1","-",".","GB43261"
"296","Group7.2","amel_OGSv3.2","gene",103198,103198,"1","-",".","GB43261"
"300","Group7.6","amel_OGSv3.2","gene",241247,241247,"1","+",".","GB44263"
"305","Group7.7","amel_OGSv3.2","gene",151485,151485,"0.787201","-",".","GB46251"
"324","Group7.21","amel_OGSv3.2","gene",1155115,1155115,"0.999333","-",".","GB42432"
"325","Group7.21","amel_OGSv3.2","gene",1155133,1155133,"0.999333","-",".","GB42432"
"326","Group7.21","amel_OGSv3.2","gene",1155141,1155141,"0.999333","-",".","GB42432"
"327","Group7.21","amel_OGSv3.2","gene",1155201,1155201,"0.999333","-",".","GB42432"
"328","Group7.21","amel_OGSv3.2","gene",1155342,1155342,"0.999333","-",".","GB42432"
"329","Group7.21","amel_OGSv3.2","gene",1155379,1155379,"0.999333","-",".","GB42432"
"330","Group7.21","amel_OGSv3.2","gene",1155408,1155408,"0.999333","-",".","GB42432"
"331","Group7.21","amel_OGSv3.2","gene",31696,31696,"1","+",".","GB42455"
"332","Group7.21","amel_OGSv3.2","gene",31696,31696,"1","-",".","GB42450"
"345","Group8.6","amel_OGSv3.2","gene",547494,547494,"0.548025","+",".","GB40498"
"347","Group8.11","amel_OGSv3.2","gene",436946,436946,"1","+",".","GB52849"
"350","Group8.17","amel_OGSv3.2","gene",38368,38368,"1","-",".","GB41974"
"351","Group8.17","amel_OGSv3.2","gene",80412,80412,"1","-",".","GB41972"
"361","Group8.21","amel_OGSv3.2","gene",490963,490963,"0.660741","-",".","GB51670"
"362","Group8.21","amel_OGSv3.2","gene",566858,566858,"0.900661","+",".","GB51738"
"363","Group8.21","amel_OGSv3.2","gene",766596,766596,"1","-",".","GB51654"
"375","Group9.10","amel_OGSv3.2","gene",1735698,1735698,"0.999812","-",".","GB42681"
"376","Group9.10","amel_OGSv3.2","gene",1741630,1741630,"1","-",".","GB42680"
"377","Group9.10","amel_OGSv3.2","gene",1783744,1783744,"0.999954","-",".","GB42674"
"378","Group9.10","amel_OGSv3.2","gene",278241,278241,"1","+",".","GB42759"
"389","Group10.26","amel_OGSv3.2","gene",215666,215666,"0.999985","+",".","GB51040"
"390","Group10.26","amel_OGSv3.2","gene",2343959,2343959,"1","-",".","GB50902"
"391","Group10.26","amel_OGSv3.2","gene",2343968,2343968,"1","-",".","GB50902"
"397","Group11.1","amel_OGSv3.2","gene",520711,520711,"1","-",".","GB46613"
"400","Group11.3","amel_OGSv3.2","gene",523489,523489,"1","+",".","GB43989"
"408","Group11.6","amel_OGSv3.2","gene",53172,53172,"1","+",".","GB55193"
"409","Group11.6","amel_OGSv3.2","gene",54640,54640,"1","+",".","GB55193"
"410","Group11.6","amel_OGSv3.2","gene",54640,54640,"1","-",".","GB55185"
"411","Group11.6","amel_OGSv3.2","gene",13089,13089,"0.661981","-",".","GB55190"
"425","Group11.20","amel_OGSv3.2","gene",130594,130594,"1","+",".","GB43179"
"426","Group11.20","amel_OGSv3.2","gene",563490,563490,"0.939843","+",".","GB43205"
"427","Group11.20","amel_OGSv3.2","gene",566535,566535,"1","-",".","GB43114"
"428","Group11.20","amel_OGSv3.2","gene",590133,590133,"1","+",".","GB43208"
"429","Group11.20","amel_OGSv3.2","gene",721224,721224,"0.999536","-",".","GB43099"
"439","Group12.16","amel_OGSv3.2","gene",385143,385143,"0.999999","-",".","GB49325"
"440","Group12.16","amel_OGSv3.2","gene",541054,541054,"0.796376","+",".","GB49391"
"446","Group13.7","amel_OGSv3.2","gene",397438,397438,"0.999998","+",".","GB40112"
"447","Group13.7","amel_OGSv3.2","gene",397438,397438,"0.999998","-",".","GB40100"
"455","Group13.9","amel_OGSv3.2","gene",235209,235209,"1","+",".","GB53859"
"456","Group13.9","amel_OGSv3.2","gene",235282,235282,"1","+",".","GB53859"
"461","Group13.12","amel_OGSv3.2","gene",1313915,1313915,"1","-",".","GB49859"
"464","Group14.13","amel_OGSv3.2","gene",6157,6157,"1","+",".","GB54158"
"471","Group14.14","amel_OGSv3.2","gene",1010285,1010285,"1","-",".","GB52691"
"472","Group14.14","amel_OGSv3.2","gene",1123883,1123883,"0.931894","+",".","GB52812"
"473","Group14.14","amel_OGSv3.2","gene",800204,800204,"1","+",".","GB52774"
"474","Group14.14","amel_OGSv3.2","gene",957069,957069,"0.999528","+",".","GB52793"
"491","Group14.15","amel_OGSv3.2","gene",1386736,1386736,"1","-",".","GB41608"
"492","Group14.15","amel_OGSv3.2","gene",227285,227285,"1","+",".","GB41693"
"493","Group14.15","amel_OGSv3.2","gene",227302,227302,"1","+",".","GB41693"
"494","Group14.15","amel_OGSv3.2","gene",227319,227319,"1","+",".","GB41693"
"495","Group14.15","amel_OGSv3.2","gene",228363,228363,"1","+",".","GB41693"
"503","Group15.3","amel_OGSv3.2","gene",92516,92516,"0.99991","+",".","GB41196"
"505","Group16.2","amel_OGSv3.2","gene",1146686,1146686,"0.999856","-",".","GB54309"
"521","Group16.4","amel_OGSv3.2","gene",1361343,1361343,"1","-",".","GB51281"
"522","Group16.4","amel_OGSv3.2","gene",1442172,1442172,"0.999801","+",".","GB51337"
"523","Group16.4","amel_OGSv3.2","gene",1442384,1442384,"0.999801","+",".","GB51337"
"524","Group16.4","amel_OGSv3.2","gene",1445023,1445023,"0.999801","+",".","GB51337"
"525","Group16.4","amel_OGSv3.2","gene",1445395,1445395,"0.999801","+",".","GB51337"
"526","Group16.4","amel_OGSv3.2","gene",1445402,1445402,"0.999801","+",".","GB51337"
"527","Group16.4","amel_OGSv3.2","gene",1445552,1445552,"0.999801","+",".","GB51337"
"528","Group16.4","amel_OGSv3.2","gene",1445552,1445552,"0.999972","-",".","GB51276"
"529","Group16.4","amel_OGSv3.2","gene",1450963,1450963,"0.999972","-",".","GB51276"
"530","Group16.4","amel_OGSv3.2","gene",1451209,1451209,"0.999972","-",".","GB51276"
"573","Group16.5","amel_OGSv3.2","gene",283368,283368,"0.461179","-",".","GB47584"
"574","Group16.5","amel_OGSv3.2","gene",380533,380533,"0.999921","-",".","GB47579"
"575","Group16.5","amel_OGSv3.2","gene",380644,380644,"0.999921","-",".","GB47579"
"576","Group16.5","amel_OGSv3.2","gene",380671,380671,"0.999921","-",".","GB47579"
"577","Group16.5","amel_OGSv3.2","gene",380687,380687,"0.999921","-",".","GB47579"
"578","Group16.5","amel_OGSv3.2","gene",380710,380710,"0.999921","-",".","GB47579"
"579","Group16.5","amel_OGSv3.2","gene",380788,380788,"0.999921","-",".","GB47579"
"580","Group16.5","amel_OGSv3.2","gene",400971,400971,"0.999999","+",".","GB47628"
"581","Group16.5","amel_OGSv3.2","gene",455722,455722,"0.626251","-",".","GB47572"
"582","Group16.5","amel_OGSv3.2","gene",501668,501668,"0.999997","-",".","GB47568"
"583","Group16.5","amel_OGSv3.2","gene",501921,501921,"0.999997","-",".","GB47568"
"584","Group16.5","amel_OGSv3.2","gene",501999,501999,"0.999997","-",".","GB47568"
"585","Group16.5","amel_OGSv3.2","gene",502530,502530,"0.999997","-",".","GB47568"
"586","Group16.5","amel_OGSv3.2","gene",502545,502545,"0.999997","-",".","GB47568"
"587","Group16.5","amel_OGSv3.2","gene",514927,514927,"0.873546","-",".","GB47566"
"588","Group16.5","amel_OGSv3.2","gene",516668,516668,"0.873546","-",".","GB47566"
"611","GroupUn162","amel_OGSv3.2","gene",28646,28646,"0.999298","+",".","GB51956"
"612","GroupUn162","amel_OGSv3.2","gene",29980,29980,"0.999298","+",".","GB51956"
"613","GroupUn162","amel_OGSv3.2","gene",29989,29989,"0.999298","+",".","GB51956"
"617","GroupUn171","amel_OGSv3.2","gene",5679,5679,"0.999958","-",".","GB48324"
"618","GroupUn171","amel_OGSv3.2","gene",5696,5696,"0.999958","-",".","GB48324"
"621","GroupUn299","amel_OGSv3.2","gene",38516,38516,"0.950527","-",".","GB55134"
