"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"84","Group2.17","amel_OGSv3.2","gene",1416376,1416376,"0.93927","-",".","GB52343"
"89","Group3.1","amel_OGSv3.2","gene",514128,514128,"1","+",".","GB56018"
"95","Group3.8","amel_OGSv3.2","gene",955810,955810,"0.558377","-",".","GB55781"
"96","Group3.8","amel_OGSv3.2","gene",958196,958196,"0.558377","-",".","GB55781"
"101","Group3.9","amel_OGSv3.2","gene",1783382,1783382,"0.99999","+",".","GB53742"
"106","Group3.15","amel_OGSv3.2","gene",377355,377355,"1","+",".","GB47043"
"107","Group3.15","amel_OGSv3.2","gene",379071,379071,"1","+",".","GB47043"
"108","Group3.15","amel_OGSv3.2","gene",482785,482785,"1","-",".","GB47020"
"109","Group3.15","amel_OGSv3.2","gene",767481,767481,"0.716155","-",".","GB47009"
"117","Group3.16","amel_OGSv3.2","gene",515079,515079,"1","+",".","GB41252"
"123","Group3.18","amel_OGSv3.2","gene",200100,200100,"0.999999","+",".","GB46140"
"124","Group3.18","amel_OGSv3.2","gene",200626,200626,"0.999999","+",".","GB46140"
"129","Group5.9","amel_OGSv3.2","gene",67203,67203,"0.764568","+",".","GB46739"
"135","Group5.18","amel_OGSv3.2","gene",585507,585507,"0.791846","+",".","GB41372"
"136","Group5.18","amel_OGSv3.2","gene",602531,602531,"1","+",".","GB41373"
"141","Group5.20","amel_OGSv3.2","gene",424706,424706,"0.999997","+",".","GB45719"
"145","Group6.37","amel_OGSv3.2","gene",102365,102365,"1","+",".","GB45393"
"146","Group6.37","amel_OGSv3.2","gene",401247,401247,"0.992927","-",".","GB45364"
"151","Group7.6","amel_OGSv3.2","gene",211749,211749,"0.996899","+",".","GB44262"
"156","Group7.7","amel_OGSv3.2","gene",24237,24237,"0.999993","+",".","GB46259"
"157","Group7.7","amel_OGSv3.2","gene",24237,24237,"1","-",".","GB46257"
"162","Group8.8","amel_OGSv3.2","gene",884024,884024,"1","-",".","GB43818"
"167","Group8.9","amel_OGSv3.2","gene",9239,9239,"0.980118","+",".","GB41835"
"175","Group8.21","amel_OGSv3.2","gene",565286,565286,"0.900661","+",".","GB51738"
"176","Group8.21","amel_OGSv3.2","gene",648223,648223,"0.999998","+",".","GB51745"
"177","Group8.21","amel_OGSv3.2","gene",648263,648263,"0.999998","+",".","GB51745"
"178","Group8.21","amel_OGSv3.2","gene",649611,649611,"0.999998","+",".","GB51745"
"186","Group9.10","amel_OGSv3.2","gene",211489,211489,"1","+",".","GB42755"
"187","Group9.10","amel_OGSv3.2","gene",211489,211489,"1","-",".","GB42738"
"193","Group9.12","amel_OGSv3.2","gene",867064,867064,"0.999969","-",".","GB53341"
"199","Group10.25","amel_OGSv3.2","gene",34255,34255,"0.986493","+",".","GB52636"
"200","Group10.25","amel_OGSv3.2","gene",82851,82851,"1","+",".","GB52643"
"209","Group10.26","amel_OGSv3.2","gene",1070259,1070259,"1","+",".","GB51072"
"210","Group10.26","amel_OGSv3.2","gene",1467121,1467121,"0.999999","-",".","GB50959"
"211","Group10.26","amel_OGSv3.2","gene",1467139,1467139,"0.999999","-",".","GB50959"
"224","Group11.18","amel_OGSv3.2","gene",1765240,1765240,"1","+",".","GB45134"
"225","Group11.18","amel_OGSv3.2","gene",1765240,1765240,"1","-",".","GB45038"
"226","Group11.18","amel_OGSv3.2","gene",1770997,1770997,"1","+",".","GB45135"
"227","Group11.18","amel_OGSv3.2","gene",3532053,3532053,"0.999999","+",".","GB45202"
"228","Group11.18","amel_OGSv3.2","gene",3532053,3532053,"0.995208","-",".","GB44959"
"229","Group11.18","amel_OGSv3.2","gene",3536843,3536843,"0.995208","-",".","GB44959"
"230","Group11.18","amel_OGSv3.2","gene",3537464,3537464,"0.995208","-",".","GB44959"
"245","Group11.20","amel_OGSv3.2","gene",24573,24573,"1","+",".","GB43168"
"246","Group11.20","amel_OGSv3.2","gene",24573,24573,"0.999951","-",".","GB43163"
"247","Group11.20","amel_OGSv3.2","gene",566521,566521,"1","-",".","GB43114"
"248","Group11.20","amel_OGSv3.2","gene",566535,566535,"1","-",".","GB43114"
"249","Group11.20","amel_OGSv3.2","gene",916502,916502,"0.999998","-",".","GB43078"
"269","Group14.14","amel_OGSv3.2","gene",1009740,1009740,"1","-",".","GB52691"
"270","Group14.14","amel_OGSv3.2","gene",1009748,1009748,"1","-",".","GB52691"
"271","Group14.14","amel_OGSv3.2","gene",1009891,1009891,"1","-",".","GB52691"
"272","Group14.14","amel_OGSv3.2","gene",1009903,1009903,"1","-",".","GB52691"
"273","Group14.14","amel_OGSv3.2","gene",1009918,1009918,"1","-",".","GB52691"
"274","Group14.14","amel_OGSv3.2","gene",954918,954918,"0.999528","+",".","GB52793"
"283","Group14.15","amel_OGSv3.2","gene",611069,611069,"0.993982","-",".","GB41639"
"287","Group15.14","amel_OGSv3.2","gene",1299343,1299343,"1","+",".","GB50609"
"289","Group15.19","amel_OGSv3.2","gene",3492631,3492631,"1","+",".","GB50268"
"293","Group16.4","amel_OGSv3.2","gene",1445016,1445016,"0.999801","+",".","GB51337"
"301","Group16.5","amel_OGSv3.2","gene",158891,158891,"1","+",".","GB47615"
"302","Group16.5","amel_OGSv3.2","gene",283368,283368,"0.461179","-",".","GB47584"
"303","Group16.5","amel_OGSv3.2","gene",500725,500725,"0.999997","-",".","GB47568"
"304","Group16.5","amel_OGSv3.2","gene",501999,501999,"0.999997","-",".","GB47568"
"315","GroupUn54","amel_OGSv3.2","gene",45527,45527,"0.999958","+",".","GB45755"
"316","GroupUn54","amel_OGSv3.2","gene",45535,45535,"0.999958","+",".","GB45755"
"317","GroupUn54","amel_OGSv3.2","gene",45567,45567,"0.999958","+",".","GB45755"
"329","GroupUn81","amel_OGSv3.2","gene",2581,2581,"0.966719","-",".","GB52887"
"330","GroupUn81","amel_OGSv3.2","gene",2603,2603,"0.966719","-",".","GB52887"
"331","GroupUn81","amel_OGSv3.2","gene",2640,2640,"0.966719","-",".","GB52887"
"332","GroupUn81","amel_OGSv3.2","gene",2661,2661,"0.966719","-",".","GB52887"
