"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"124","Group6.28",42307,42308,"Group6.28","amel_OGSv3.2","gene",38665,42591,"1","+",".","GB42969"
"127","Group6.28",69200,69201,"Group6.28","amel_OGSv3.2","gene",64760,71682,"0.977273","-",".","GB42958"
"131","Group7.2",102892,102893,"Group7.2","amel_OGSv3.2","gene",102448,105327,"1","-",".","GB43261"
"135","Group7.17",521655,521656,"Group7.17","amel_OGSv3.2","gene",518738,534206,"0.864504","-",".","GB43285"
"139","Group7.21",1155114,1155115,"Group7.21","amel_OGSv3.2","gene",1153939,1155592,"0.999333","-",".","GB42432"
"143","Group7.21",1155140,1155141,"Group7.21","amel_OGSv3.2","gene",1153939,1155592,"0.999333","-",".","GB42432"
"147","Group7.21",1155200,1155201,"Group7.21","amel_OGSv3.2","gene",1153939,1155592,"0.999333","-",".","GB42432"
"151","Group7.24",418015,418016,"Group7.24","amel_OGSv3.2","gene",416326,418414,"1","+",".","GB48152"
"158","Group9.10",1741629,1741630,"Group9.10","amel_OGSv3.2","gene",1740744,1743614,"1","-",".","GB42680"
"162","Group9.12",1398241,1398242,"Group9.12","amel_OGSv3.2","gene",1397503,1400070,"1","-",".","GB53302"
"166","Group10.26",1070025,1070026,"Group10.26","amel_OGSv3.2","gene",1068526,1071769,"1","+",".","GB51072"
"170","Group10.26",1646158,1646159,"Group10.26","amel_OGSv3.2","gene",1643382,1647182,"0.491855","-",".","GB50945"
"174","Group10.26",2343967,2343968,"Group10.26","amel_OGSv3.2","gene",2342098,2345714,"1","-",".","GB50902"
"178","Group11.3",189750,189751,"Group11.3","amel_OGSv3.2","gene",189126,190216,"0.598885","-",".","GB43951"
"180","Group11.3",402849,402850,"Group11.3","amel_OGSv3.2","gene",398277,404149,"1","-",".","GB43941"
"184","Group11.6",53171,53172,"Group11.6","amel_OGSv3.2","gene",52309,55437,"1","+",".","GB55193"
"189","Group11.6",54639,54640,"Group11.6","amel_OGSv3.2","gene",52309,55437,"1","+",".","GB55193"
"190","Group11.6",54639,54640,"Group11.6","amel_OGSv3.2","gene",54128,55961,"1","-",".","GB55185"
"196","Group11.18",4731679,4731680,"Group11.18","amel_OGSv3.2","gene",4729241,4733051,"0.999998","+",".","GB45300"
"198","Group11.20",130593,130594,"Group11.20","amel_OGSv3.2","gene",128067,135302,"1","+",".","GB43179"
"202","Group13.3",115916,115917,"Group13.3","amel_OGSv3.2","gene",115634,124258,"0.499994","+",".","GB54764"
"206","Group13.5",642847,642848,"Group13.5","amel_OGSv3.2","gene",642177,646124,"0.999932","+",".","GB50695"
"211","Group13.7",397437,397438,"Group13.7","amel_OGSv3.2","gene",393386,398529,"0.999998","-",".","GB40100"
"214","Group13.7",397437,397438,"Group13.7","amel_OGSv3.2","gene",388402,399234,"0.999998","+",".","GB40112"
"218","Group13.9",235198,235199,"Group13.9","amel_OGSv3.2","gene",229213,237658,"1","+",".","GB53859"
"222","Group13.9",235208,235209,"Group13.9","amel_OGSv3.2","gene",229213,237658,"1","+",".","GB53859"
"226","Group13.9",235281,235282,"Group13.9","amel_OGSv3.2","gene",229213,237658,"1","+",".","GB53859"
"230","Group13.9",314607,314608,"Group13.9","amel_OGSv3.2","gene",313827,321556,"1","-",".","GB53847"
"233","Group14.13",6140,6141,"Group14.13","amel_OGSv3.2","gene",1290,6441,"1","+",".","GB54158"
"238","Group14.15",222295,222296,"Group14.15","amel_OGSv3.2","gene",221811,223832,"0.999658","-",".","GB41649"
"242","Group14.15",683974,683975,"Group14.15","amel_OGSv3.2","gene",678353,693541,"0.867833","-",".","GB41634"
"246","Group15.3",92515,92516,"Group15.3","amel_OGSv3.2","gene",84646,116402,"0.99991","+",".","GB41196"
"250","Group15.3",92527,92528,"Group15.3","amel_OGSv3.2","gene",84646,116402,"0.99991","+",".","GB41196"
"254","Group15.19",276609,276610,"Group15.19","amel_OGSv3.2","gene",271699,277878,"0.998618","+",".","GB50135"
"256","Group15.19",2311267,2311268,"Group15.19","amel_OGSv3.2","gene",2308038,2319692,"0.995872","-",".","GB49990"
"262","Group16.4",1445551,1445552,"Group16.4","amel_OGSv3.2","gene",1445417,1458989,"0.999972","-",".","GB51276"
"264","Group16.4",1445551,1445552,"Group16.4","amel_OGSv3.2","gene",1435636,1447563,"0.999801","+",".","GB51337"
"273","Group16.5",380670,380671,"Group16.5","amel_OGSv3.2","gene",379281,384272,"0.999921","-",".","GB47579"
"277","Group16.5",380686,380687,"Group16.5","amel_OGSv3.2","gene",379281,384272,"0.999921","-",".","GB47579"
"281","Group16.5",380709,380710,"Group16.5","amel_OGSv3.2","gene",379281,384272,"0.999921","-",".","GB47579"
"285","Group16.5",455721,455722,"Group16.5","amel_OGSv3.2","gene",454858,461493,"0.626251","-",".","GB47572"
"297","GroupUn68",55731,55732,"GroupUn68","amel_OGSv3.2","gene",47841,55814,"0.976087","+",".","GB53275"
"301","GroupUn86",116855,116856,"GroupUn86","amel_OGSv3.2","gene",112116,120625,"1","-",".","GB55967"
"305","GroupUn162",29979,29980,"GroupUn162","amel_OGSv3.2","gene",1873,34208,"0.999298","+",".","GB51956"
"309","GroupUn162",29988,29989,"GroupUn162","amel_OGSv3.2","gene",1873,34208,"0.999298","+",".","GB51956"
